respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.06918610949706805,0.21129865914757728
26708,0.04429746982605285,0.05677653491510688
26709,0.43595712314918406,0.690896824388642
26710,0.4854012805503041,0.8814533676524255
26711,0.2164246063925351,0.4556737196603717
26712,0.4051261986293201,0.906909541806968
26713,0.34425221029727804,0.5156411101371999
26714,0.16447321231691853,0.31324259470511095
26715,0.03831904766944671,0.18023690744401522
26716,0.19195562281972908,0.8549251966314716
26717,0.023875603884710005,0.39160949269147066
26718,0.19739781234732443,0.3907448186247811
26719,0.09903395771066092,0.9238038136022686
26720,0.0688729021449396,0.1377433196567852
26721,0.46178194777779924,0.532360737792095
26722,0.053684833859169244,0.08826426853789182
26723,0.6816323507883025,0.8456596514105253
26724,0.1258943142061196,0.6077581588824564
26725,0.0471714805248766,0.09585574312826656
26726,0.016464000429217304,0.038259792325015946
26727,0.31382950061106124,0.764541128876359
26728,0.23639629578089952,0.5592038813690299
26729,0.08152430921890674,0.29167526021635404
26730,0.04757676306250786,0.21646447085372345
26731,0.018031279875131857,0.299262182110446
26732,0.1178874607487771,0.11087881135173451
26733,0.9133335362725388,0.9581642676322925
26734,0.849299834132978,0.3810485888154692
26735,0.14241336567548002,0.4625888894317924
26736,0.05658382658577209,0.14035386140021525
26737,0.0826404484936615,0.15414938138982776
26738,0.6590582465005497,0.8843523608040067
26739,0.11490362036015632,0.22115872792534103
26740,0.15139573914825533,0.1311157621948011
26741,0.21116973303546527,0.9235141035017431
26742,0.15272126506629904,0.5351637830323913
26743,0.04013148352915524,0.46655683397448544
26744,0.058502267627025886,0.5952290430802764
26745,0.09080308302991716,0.9081141275751181
26746,0.05492874254889046,0.2737488790007033
26747,0.08942924792339962,0.33640834510073686
26748,0.08773646509373409,0.0649730885649486
26749,0.07441373354756761,0.7007454260017875
26750,0.664282457083206,0.9021852507327601
26751,0.3037316908266202,0.6891305199947207
26752,0.01812871234727001,0.01980404607185864
26753,0.2047175940872258,0.6343735131428297
26754,0.08654978644466622,0.48690323571981436
26755,0.0970483961742575,0.2998328203576691
26756,0.014270967726940443,0.0344643429560806
26757,0.46099126405921315,0.5114048449104834
26758,0.648956381978224,0.8864873624377811
26759,0.04272099456503334,0.23579580635884334
26760,0.010380727991549323,0.02336855658523885
26761,0.1304129316522603,0.5503881916691389
26762,0.16057229000253898,0.8312085686729145
26763,0.8891935376155065,0.980752780487627
26764,0.926373148963554,0.9634209342983979
26765,0.0341449706623749,0.7263273617188881
26766,0.14454435454333564,0.14660300224695946
26767,0.7675927366892502,0.710460847792133
26768,0.012385072049918492,0.3837192621111308
26769,0.14233290794925627,0.16106082770241367
26770,0.13336851212554143,0.6909184694289782
